Turn,Speaker,Cue,Capsules,Capsules OIE
0,Leolani2,,,
1,,Hi! Who are you? Caya?,,
2,,Caya,,
3,,So your name is Caya?,,"[{'chat': 10, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Caya?', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Caya', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:09:39.482226', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 2, 'author': 'Leolani', 'utterance': 'So your name is Caya?', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Caya', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:09:39.482226', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
4,Leolani2,yes,,
5,Caya,"Tell me anything, I love learning things",,"[{'chat': 10, 'turn': 4, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:09:52.349287', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 4, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'learning things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:09:52.349287', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
6,Leolani2,A dog is an animal,,"[{'chat': 10, 'turn': 5, 'author': 'Leolani', 'utterance': 'A dog is an animal', 'utterance_type': 'STATEMENT', 'position': '0-18', 'subject': {'label': 'dog', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'animal', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:09:58.877062', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
7,Caya,Exciting news! I did not know anybody who be an animal,,
8,Leolani2,What do I like?,,
9,Caya,you told me you like dogs,,"[{'chat': 10, 'turn': 8, 'author': 'Leolani', 'utterance': 'you told me you like dogs', 'utterance_type': 'STATEMENT', 'position': '0-25', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:10:18.265837', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 8, 'author': 'Leolani', 'utterance': 'you told me you like dogs', 'utterance_type': 'STATEMENT', 'position': '0-25', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'you like dogs', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:10:18.265837', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 8, 'author': 'Leolani', 'utterance': 'you told me you like dogs', 'utterance_type': 'STATEMENT', 'position': '0-25', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:10:18.265837', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
10,Leolani2,What does Mincke like?,,
11,Caya,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",,
12,Leolani2,Apple pie smells good,,"[{'chat': 10, 'turn': 11, 'author': 'Leolani', 'utterance': 'Apple pie smells good', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'Apple pie', 'type': []}, 'predicate': {'label': 'smells', 'type': []}, 'object': {'label': 'good', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:10:37.871551', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
